编号,文件名,GPS纬度,GPS经度,综合感知得分,街巷空间与交通通达,建筑风貌与界面品质,便民生活与服务韧性,环境秩序与生态韧性,公共安全与心理感知,场所氛围与情感价值,针灸式更新潜力
47,2 (14).jpg,30.618013,114.233673,0.3485,0.25,0.25,0.2083,0.4286,0.75,0.25,0.6438
48,2 (15).jpg,30.617491,114.232972,0.3275,0.3,0.4167,0.25,0.3214,0.375,0.3214,0.6692
49,2 (16).jpg,30.616739,114.231251,0.4183,0.35,0.3333,0.3333,0.3929,0.625,0.5,0.5776
50,2 (17).jpg,30.617090,114.230995,,,,,,,,
51,2 (18).jpg,30.617562,114.230700,0.3236,0.3,0.3333,0.3333,0.3571,0.375,0.25,0.6752
52,2 (19).jpg,30.617775,114.230610,0.3881,0.2,0.4167,0.4583,0.3571,0.5,0.4286,0.6065
53,2 (2).jpg,30.619789,114.235313,0.4359,0.3,0.5,0.3333,0.3571,0.75,0.4286,0.5552
54,2 (20).jpg,30.615804,114.229471,0.3604,0.3,0.3333,0.2917,0.3929,0.625,0.25,0.6345
55,2 (21).jpg,30.616241,114.229241,0.2813,0.2,0.3333,0.2083,0.3929,0.25,0.3214,0.7157
56,2 (22).jpg,30.617061,114.228891,0.3986,0.3,0.3333,0.375,0.2857,0.625,0.5,0.5968
57,2 (23).jpg,30.617256,114.228749,0.3681,0.25,0.4167,0.25,0.3571,0.625,0.3571,0.624
58,2 (24).jpg,30.615624,114.228694,0.3434,0.15,0.4167,0.2083,0.2857,0.75,0.3214,0.6446
59,2 (3).jpg,30.619569,114.234379,0.3517,0.35,0.4167,0.2917,0.2857,0.5,0.2857,0.645
60,2 (4).jpg,30.619403,114.233673,0.4031,0.35,0.4167,0.375,0.2857,0.625,0.3929,0.5925
61,2 (5).jpg,30.619187,114.233024,0.3398,0.3,0.3333,0.2917,0.4286,0.375,0.3214,0.6583
62,2 (6).jpg,30.619042,114.232576,0.3972,0.3,0.3333,0.25,0.3929,0.875,0.2857,0.5938
63,2 (7).jpg,30.619037,114.232138,0.3713,0.35,0.3333,0.25,0.4286,0.375,0.5,0.6272
64,2 (8).jpg,30.620000,114.236310,0.3632,0.25,0.5,0.2917,0.3571,0.5,0.3214,0.63
65,2 (9).jpg,30.619717,114.235948,0.3758,0.4,0.4167,0.4167,0.3214,0.375,0.3214,0.6248
66,3 (1).jpg,30.620292,114.236319,0.463,0.4,0.5833,0.4167,0.5,0.625,0.2857,0.5315
67,3 (10).jpg,30.619753,114.235478,0.3686,0.25,0.3333,0.3333,0.4643,0.5,0.3571,0.627
68,3 (11).jpg,30.619694,114.235206,0.3981,0.3,0.4167,0.375,0.4286,0.5,0.3929,0.5978
69,3 (12).jpg,30.619631,114.234911,0.4546,0.35,0.4167,0.4583,0.3929,0.75,0.3929,0.5399
70,3 (13).jpg,30.619525,114.234611,0.4025,0.3,0.4167,0.5417,0.4286,0.375,0.3571,0.5968
71,3 (14).jpg,30.619439,114.234289,0.3914,0.35,0.4167,0.4583,0.3571,0.375,0.3929,0.6083
72,3 (15).jpg,30.619436,114.233917,0.4075,0.35,0.4167,0.375,0.3929,0.5,0.4286,0.5895
73,3 (16).jpg,30.617589,114.233075,0.4524,0.45,0.5,0.3333,0.3929,0.75,0.3214,0.5421
74,3 (17).jpg,30.616731,114.231400,0.3725,0.2,0.3333,0.2917,0.3929,0.75,0.3214,0.6185
75,3 (18).jpg,30.616219,114.230244,0.3574,0.25,0.25,0.2917,0.3929,0.75,0.25,0.6359
76,3 (19).jpg,30.616028,114.229731,0.3489,0.2,0.3333,0.3333,0.3929,0.625,0.25,0.6442
77,3 (2).jpg,30.620339,114.236250,0.4522,0.35,0.3333,0.4167,0.5,0.75,0.3929,0.5429
78,3 (20).jpg,30.615711,114.229464,0.2671,0.2,0.25,0.2917,0.25,0.375,0.25,0.7306
79,3 (21).jpg,30.615556,114.229225,0.3978,0.4,0.4167,0.2917,0.4286,0.625,0.25,0.598
80,3 (22).jpg,30.615461,114.228839,0.4061,0.35,0.4167,0.2917,0.3929,0.625,0.3929,0.5885
81,3 (23).jpg,30.615203,114.228350,0.379,0.3,0.4167,0.2083,0.3214,0.875,0.2143,0.6107
82,3 (24).jpg,30.615508,114.228828,0.3637,0.25,0.4167,0.3333,0.3571,0.5,0.3571,0.631
83,3 (25).jpg,30.615744,114.228739,0.3328,0.25,0.4167,0.3333,0.3929,0.375,0.25,0.6637
84,3 (26).jpg,30.615894,114.228553,0.3857,0.2,0.3333,0.2917,0.3571,0.875,0.3214,0.6036
85,3 (27).jpg,30.615911,114.228528,0.2396,0.2,0.1667,0.25,0.3214,0.25,0.25,0.7603
86,3 (28).jpg,30.616128,114.228392,0.3771,0.3,0.5,0.4583,0.3571,0.375,0.2857,0.6206
87,3 (29).jpg,30.616367,114.228203,0.2925,0.2,0.4167,0.25,0.1786,0.5,0.25,0.7008
88,3 (3).jpg,30.620536,114.236086,0.4303,0.45,0.5,0.2917,0.4643,0.5,0.3929,0.5669
89,3 (30).jpg,30.616447,114.228192,0.2788,0.2,0.25,0.25,0.25,0.5,0.25,0.7167
90,3 (31).jpg,30.616450,114.228189,0.2494,0.2,0.25,0.1667,0.3929,0.25,0.25,0.7484
91,3 (32).jpg,30.616897,114.228028,0.3466,0.25,0.3333,0.375,0.3571,0.5,0.2857,0.6498
92,3 (4).jpg,30.621228,114.235525,0.3787,0.4,0.4167,0.2917,0.3929,0.5,0.2857,0.6188
93,3 (5).jpg,30.621186,114.235403,0.329,0.3,0.4167,0.2917,0.3571,0.375,0.25,0.6683
94,3 (6).jpg,30.620594,114.235894,0.5175,0.7,0.6667,0.375,0.4643,0.5,0.3929,0.4835
95,3 (7).jpg,30.620328,114.235628,0.4594,0.55,0.5,0.4167,0.5,0.5,0.2857,0.5413
96,3 (8).jpg,30.620058,114.235972,0.3914,0.35,0.4167,0.375,0.3571,0.625,0.25,0.6044
97,3 (9).jpg,30.619792,114.235603,,,,,,,,
